league,champion,count,total_games,pick_rate
LCK,Azir,463,2874,16.109951287404314
LCK,Sejuani,452,2874,15.727209464161449
LCK,Zeri,436,2874,15.170494084899094
LCK,K'Sante,386,2874,13.430758524704245
LCK,Gnar,358,2874,12.45650661099513
LCS,Nautilus,226,1524,14.829396325459317
LCS,Zeri,224,1524,14.698162729658792
LCS,K'Sante,216,1524,14.173228346456693
LCS,Renekton,196,1524,12.860892388451445
LCS,Sejuani,188,1524,12.335958005249344
LEC,Nautilus,261,1650,15.818181818181817
LEC,Zeri,238,1650,14.424242424242426
LEC,Azir,234,1650,14.181818181818182
LEC,Sejuani,225,1650,13.636363636363635
LEC,Rakan,215,1650,13.030303030303031
LPL,Nautilus,802,4516,17.75907883082374
LPL,Aphelios,768,4516,17.006200177147917
LPL,K'Sante,728,4516,16.12046058458813
LPL,Zeri,521,4516,11.53675819309123
LPL,Rakan,495,4516,10.961027457927369
