position,champion,count,champion_zh,pick_rate
bot,Aphelios,7802,亞菲利歐,11.692593591703385
bot,Zeri,6777,婕莉,10.15646074993256
bot,Jinx,6418,吉茵珂絲,9.618439588765998
bot,Xayah,5444,剎雅,8.158738722536942
bot,Varus,5220,法洛士,7.823037496628
jng,Viego,6742,維爾戈,10.104007433384288
jng,Sejuani,6036,史瓦妮,9.045949105296286
jng,Wukong,5727,悟空,8.582861253484399
jng,Lee Sin,5131,李星,7.68965620597668
jng,Vi,4987,菲艾,7.473848275035219
mid,Ahri,6281,阿璃,9.41312232113419
mid,Azir,6052,阿祈爾,9.069927764289783
mid,Corki,3759,庫奇,5.633486197284417
mid,Sylas,3317,賽勒斯,4.971075742589096
mid,Orianna,3269,奧莉安娜,4.899139765608608
sup,Nautilus,11366,納帝魯斯,17.03383988250457
sup,Rakan,6973,銳空,10.450199322602884
sup,Leona,5679,雷歐娜,8.510925276503912
sup,Rell,5247,銳兒,7.863501483679524
sup,Alistar,3612,亞歷斯塔,5.413182267781674
team,Tryndamere,15,泰達米爾,22.727272727272727
team,Ahri,11,阿璃,16.666666666666664
team,Zeri,7,婕莉,10.606060606060606
team,Volibear,6,弗力貝爾,9.090909090909092
team,Nautilus,5,納帝魯斯,7.575757575757576
top,K'Sante,7180,卡桑帝,10.760423223331236
top,Gnar,6131,吶兒,9.188322393070168
top,Renekton,6101,雷尼克頓,9.143362407457364
top,Jax,4054,賈克斯,6.075592722476995
top,Gwen,3854,關,5.775859485058298
