champion,pick_rate
Nautilus,17.308095794742677
Aphelios,11.704582921200132
K'Sante,11.139585768665887
Sejuani,10.97772982045979
Zeri,10.701975242034589
Rakan,10.45769265353835
Viego,10.172946077990588
Jinx,9.618439588765998
Ahri,9.521026286604922
Renekton,9.497047627611426
Rell,9.425111650630939
Gnar,9.192818391631448
Azir,9.096903755657465
Wukong,8.88858915565147
Leona,8.515421275065192
Maokai,8.473458621826573
Xayah,8.16623205347241
Varus,8.10628540598867
Lee Sin,7.866498816053712
Kai'Sa,7.682162875041214
Vi,7.48733627071906
Xin Zhao,7.356952312441926
Ezreal,7.021251086532986
Lucian,6.496717921050266
Jax,6.486227257740611
Gwen,6.255432664928214
Jayce,6.0725953901028085
Ornn,5.9856727512513865
Corki,5.924227437580553
Tristana,5.852291460600066
Taliyah,5.846296795851693
Gragas,5.777358151245392
Alistar,5.417678266342954
Aatrox,5.375715613104337
Sylas,5.272307646194887
Lulu,5.173395677846717
Renata Glasc,5.072985043311453
Ashe,4.993555735395498
Poppy,4.9620837454665345
Orianna,4.906633096544076
Karma,4.885651769924767
Viktor,4.6518598447381825
Braum,4.635374516680154
Akali,4.632377184305968
LeBlanc,4.603902526751192
Nami,4.4210652519257865
Kalista,4.410574588616132
Syndra,4.389593261996823
Jhin,4.103348020261967
Jarvan IV,3.866558762701196
Senna,3.8500734346431678
Camille,3.820100110901298
Yone,3.757156131043372
Rumble,3.757156131043372
Ryze,3.64925216557264
Tahm Kench,3.6102868447082095
Volibear,3.5053802116116652
Sion,3.484398884992357
Graves,3.4559242274375803
Thresh,3.377993585708719
Trundle,3.255102958367053
Sivir,2.9283937295806735
Yuumi,2.919401732458112
Annie,2.6106764979168537
Gangplank,2.5911938374846386
Kennen,2.5851991727362647
Caitlyn,2.5387405209363667
Fiora,2.4578125468333183
Neeko,2.351407247549681
Nocturne,2.3169379252465307
Miss Fortune,2.2375086173305756
Hwei,2.2330126187692954
Draven,2.2240206216467344
Olaf,2.2195246230854537
Milio,2.1101219914276292
Hecarim,2.1011299943050683
Lissandra,1.9392740460989721
Udyr,1.9347780475376912
Seraphine,1.8898180619248868
Lillia,1.8493540748733626
Malphite,1.8028954230734646
Twisted Fate,1.763930102209034
Vex,1.7099781194736683
Ziggs,1.6859994604801725
Skarner,1.6710127986092376
Galio,1.6215568144351526
Blitzcrank,1.548122171267572
Ivern,1.5226448460869826
Smolder,1.4641968647903367
Amumu,1.4372208734226537
Brand,1.4192368791775318
Nidalee,1.4117435482420646
Veigar,1.3487995683841383
Tryndamere,1.2978449180229596
Swain,1.2948475856487724
Kindred,1.2903515870874922
Sett,1.243892935287594
Yasuo,1.243892935287594
Irelia,1.2393969367263136
Diana,1.2094236129844438
Zyra,1.1869436201780417
Lux,1.1374876360039565
Zoe,1.0925276503911518
Heimerdinger,1.0910289842040584
Pyke,1.0640529928363756
Elise,1.0370770014686927
Cassiopeia,0.9996103467913556
Karthus,0.9381650331205227
Kha'Zix,0.8377543985852591
Twitch,0.8332584000239787
Darius,0.8302610676497917
Samira,0.7942930791595479
Zac,0.7882984144111741
Aurelion Sol,0.7763090849144261
Rek'Sai,0.7493330935467434
Bard,0.7478344273596499
Bel'Veth,0.7283517669274345
Soraka,0.671402451817882
Mordekaiser,0.6579144561340406
Kog'Maw,0.6459251266372928
Vayne,0.621946467643797
Zilean,0.5949704762761142
Cho'Gath,0.5125438359859725
Kassadin,0.5020531726763181
Shyvana,0.48856517699247665
Vladimir,0.4585918532506069
Aurora,0.45409585468932656
Kayle,0.4495998561280461
Akshan,0.39414920720558705
Xerath,0.37766387914755867
Nilah,0.34769055540568894
Urgot,0.34619188921859545
Taric,0.3177172316638192
Janna,0.3072265683541648
Pantheon,0.3072265683541648
Nasus,0.29973323741869734
Dr. Mundo,0.29823457123160385
Garen,0.2907412402961364
Morgana,0.286245241734856
Shen,0.26676258130264063
Sona,0.2592692503671732
Riven,0.24877858705751882
Kled,0.2472799208704253
Zed,0.23529059137367744
Rengar,0.1948266043221533
Qiyana,0.1798399424512184
Kayn,0.17234661151575098
Illaoi,0.15436261727062914
Ekko,0.14986661870934867
Vel'Koz,0.13038395827713337
Talon,0.12139196115457243
Anivia,0.10490663309654408
Nunu & Willump,0.08392530647723526
Quinn,0.0794293079159548
Singed,0.07493330935467434
Malzahar,0.07043731079339388
Fiddlesticks,0.06893864460630039
Evelynn,0.0569493151095525
Shaco,0.0449599856128046
Katarina,0.04346131942571112
Yorick,0.04046398705152414
Ambessa,0.035967988490243685
Teemo,0.02397865899349579
Briar,0.0224799928064023
Warwick,0.01948266043221533
Rammus,0.017983994245121843
Master Yi,0.016485328058028353
Fizz,0.016485328058028353
Naafiri,0.016485328058028353
