champion,games,wins,winrate,pick_rate,champion_zh
Aatrox,3587,1767,49.26122107610817,5.375715613104337,厄薩斯
Ahri,6353,3231,50.85786242719975,9.521026286604922,阿璃
Akali,3091,1519,49.142672274344875,4.632377184305968,阿卡莉
Akshan,263,136,51.71102661596958,0.39414920720558705,埃可尚
Alistar,3615,1807,49.98616874135546,5.417678266342954,亞歷斯塔
Ambessa,24,15,62.5,0.035967988490243685,安比薩
Amumu,959,492,51.30344108446299,1.4372208734226537,阿姆姆
Anivia,70,32,45.714285714285715,0.10490663309654408,艾妮維亞
Annie,1742,881,50.57405281285878,2.6106764979168537,安妮
Aphelios,7810,3791,48.54033290653009,11.704582921200132,亞菲利歐
Ashe,3332,1754,52.64105642256903,4.993555735395498,艾希
Aurelion Sol,518,264,50.965250965250966,0.7763090849144261,翱銳龍獸
Aurora,303,160,52.8052805280528,0.45409585468932656,歐羅拉
Azir,6070,3019,49.73640856672158,9.096903755657465,阿祈爾
Bard,499,273,54.70941883767535,0.7478344273596499,巴德
Bel'Veth,486,221,45.47325102880658,0.7283517669274345,貝爾薇斯
Blitzcrank,1033,563,54.50145208131656,1.548122171267572,布里茨
Brand,947,501,52.9039070749736,1.4192368791775318,布蘭德
Braum,3093,1470,47.526673132880696,4.635374516680154,布郎姆
Briar,15,7,46.666666666666664,0.0224799928064023,布蕾爾
Caitlyn,1694,892,52.6564344746163,2.5387405209363667,凱特琳
Camille,2549,1304,51.157316594743044,3.820100110901298,卡蜜兒
Cassiopeia,667,342,51.2743628185907,0.9996103467913556,卡莎碧雅
Cho'Gath,342,158,46.198830409356724,0.5125438359859725,科加斯
Corki,3953,1959,49.55729825449026,5.924227437580553,庫奇
Darius,554,302,54.51263537906137,0.8302610676497917,達瑞斯
Diana,807,373,46.220570012391576,1.2094236129844438,黛安娜
Dr. Mundo,199,96,48.24120603015075,0.29823457123160385,蒙多醫生
Draven,1484,731,49.25876010781671,2.2240206216467344,達瑞文
Ekko,100,47,47.0,0.14986661870934867,艾克
Elise,692,377,54.47976878612717,1.0370770014686927,伊莉絲
Evelynn,38,18,47.368421052631575,0.0569493151095525,伊芙琳
Ezreal,4685,2219,47.36392742796158,7.021251086532986,伊澤瑞爾
Fiddlesticks,46,17,36.95652173913043,0.06893864460630039,費德提克
Fiora,1640,861,52.5,2.4578125468333183,菲歐拉
Fizz,11,4,36.36363636363637,0.016485328058028353,飛斯
Galio,1082,544,50.27726432532348,1.6215568144351526,加里歐
Gangplank,1729,931,53.84615384615385,2.5911938374846386,剛普朗克
Garen,194,94,48.45360824742268,0.2907412402961364,蓋倫
Gnar,6134,3048,49.69025105966743,9.192818391631448,吶兒
Gragas,3855,1809,46.9260700389105,5.777358151245392,古拉格斯
Graves,2306,1137,49.30615784908933,3.4559242274375803,葛雷夫
Gwen,4174,2128,50.98227120268328,6.255432664928214,關
Hecarim,1402,704,50.21398002853067,2.1011299943050683,赫克林
Heimerdinger,728,344,47.25274725274725,1.0910289842040584,漢默丁格
Hwei,1490,719,48.25503355704698,2.2330126187692954,赫威
Illaoi,103,54,52.42718446601942,0.15436261727062914,伊羅旖
Irelia,827,428,51.75332527206772,1.2393969367263136,伊瑞莉雅
Ivern,1016,509,50.09842519685039,1.5226448460869826,埃爾文
Janna,205,90,43.90243902439025,0.3072265683541648,珍娜
Jarvan IV,2580,1285,49.8062015503876,3.866558762701196,嘉文四世
Jax,4328,2300,53.14232902033271,6.486227257740611,賈克斯
Jayce,4052,2067,51.011846001974334,6.0725953901028085,杰西
Jhin,2738,1322,48.283418553688826,4.103348020261967,燼
Jinx,6418,3198,49.82860704269243,9.618439588765998,吉茵珂絲
K'Sante,7433,3594,48.351944033364724,11.139585768665887,卡桑帝
Kai'Sa,5126,2591,50.54623488099883,7.682162875041214,凱莎
Kalista,2943,1544,52.463472646958884,4.410574588616132,克黎思妲
Karma,3260,1438,44.11042944785276,4.885651769924767,卡瑪
Karthus,626,279,44.56869009584665,0.9381650331205227,卡爾瑟斯
Kassadin,335,155,46.26865671641791,0.5020531726763181,卡薩丁
Katarina,29,14,48.275862068965516,0.04346131942571112,卡特蓮娜
Kayle,300,144,48.0,0.4495998561280461,凱爾
Kayn,115,47,40.869565217391305,0.17234661151575098,慨影
Kennen,1725,888,51.47826086956522,2.5851991727362647,凱能
Kha'Zix,559,290,51.878354203935594,0.8377543985852591,卡力斯
Kindred,861,476,55.28455284552846,1.2903515870874922,鏡爪
Kled,165,78,47.27272727272727,0.2472799208704253,克雷德
Kog'Maw,431,197,45.707656612529,0.6459251266372928,寇格魔
LeBlanc,3072,1496,48.69791666666667,4.603902526751192,勒布朗
Lee Sin,5249,2648,50.44770432463326,7.866498816053712,李星
Leona,5682,2710,47.69447377683914,8.515421275065192,雷歐娜
Lillia,1234,598,48.46029173419773,1.8493540748733626,莉莉亞
Lissandra,1294,652,50.38639876352396,1.9392740460989721,麗珊卓
Lucian,4335,2230,51.44175317185697,6.496717921050266,路西恩
Lulu,3452,1507,43.6558516801854,5.173395677846717,露璐
Lux,759,403,53.0961791831357,1.1374876360039565,拉克絲
Malphite,1203,566,47.049044056525354,1.8028954230734646,墨菲特
Malzahar,47,19,40.42553191489361,0.07043731079339388,馬爾札哈
Maokai,5654,3131,55.3767244428723,8.473458621826573,茂凱
Master Yi,11,2,18.181818181818183,0.016485328058028353,易大師
Milio,1408,696,49.43181818181818,2.1101219914276292,米里歐
Miss Fortune,1493,737,49.363697253851306,2.2375086173305756,好運姐
Mordekaiser,439,223,50.79726651480638,0.6579144561340406,魔鬥凱薩
Morgana,191,84,43.97905759162304,0.286245241734856,魔甘娜
Naafiri,11,8,72.72727272727273,0.016485328058028353,娜菲芮
Nami,2950,1523,51.62711864406779,4.4210652519257865,娜米
Nasus,200,87,43.5,0.29973323741869734,納瑟斯
Nautilus,11549,5656,48.973937137414495,17.308095794742677,納帝魯斯
Neeko,1569,832,53.02740599107712,2.351407247549681,妮可
Nidalee,942,466,49.469214437367306,1.4117435482420646,奈德麗
Nilah,232,117,50.43103448275862,0.34769055540568894,淣菈
Nocturne,1546,749,48.44760672703752,2.3169379252465307,夜曲
Nunu & Willump,56,37,66.07142857142857,0.08392530647723526,努努和威朗普
Olaf,1481,779,52.59959486833221,2.2195246230854537,歐拉夫
Orianna,3274,1585,48.411728772144166,4.906633096544076,奧莉安娜
Ornn,3994,1944,48.673009514271406,5.9856727512513865,鄂爾
Pantheon,205,97,47.3170731707317,0.3072265683541648,潘森
Poppy,3311,1707,51.55542132286318,4.9620837454665345,波比
Pyke,710,403,56.760563380281695,1.0640529928363756,派克
Qiyana,120,55,45.83333333333333,0.1798399424512184,姬亞娜
Quinn,53,30,56.60377358490566,0.0794293079159548,葵恩
Rakan,6978,3768,53.99828030954428,10.45769265353835,銳空
Rammus,12,4,33.33333333333333,0.017983994245121843,拉姆斯
Rek'Sai,500,249,49.8,0.7493330935467434,雷珂煞
Rell,6289,3322,52.822388297026556,9.425111650630939,銳兒
Renata Glasc,3385,1799,53.14623338257016,5.072985043311453,睿娜妲．格萊斯克
Renekton,6337,3092,48.79280416600915,9.497047627611426,雷尼克頓
Rengar,130,69,53.07692307692308,0.1948266043221533,雷葛爾
Riven,166,79,47.59036144578313,0.24877858705751882,雷玟
Rumble,2507,1389,55.40486637415237,3.757156131043372,藍寶
Ryze,2435,1159,47.59753593429158,3.64925216557264,雷茲
Samira,530,263,49.62264150943396,0.7942930791595479,煞蜜拉
Sejuani,7325,3523,48.09556313993174,10.97772982045979,史瓦妮
Senna,2569,1363,53.055663682366685,3.8500734346431678,姍娜
Seraphine,1261,642,50.911974623314826,1.8898180619248868,瑟菈紛
Sett,830,400,48.19277108433735,1.243892935287594,賽特
Shaco,30,13,43.333333333333336,0.0449599856128046,薩科
Shen,178,75,42.13483146067416,0.26676258130264063,慎
Shyvana,326,144,44.171779141104295,0.48856517699247665,希瓦娜
Singed,50,23,46.0,0.07493330935467434,辛吉德
Sion,2325,1126,48.43010752688172,3.484398884992357,賽恩
Sivir,1954,986,50.46059365404298,2.9283937295806735,希維爾
Skarner,1115,632,56.681614349775785,1.6710127986092376,史加納
Smolder,977,486,49.744114636642784,1.4641968647903367,史矛德
Sona,173,89,51.445086705202314,0.2592692503671732,索娜
Soraka,448,189,42.1875,0.671402451817882,索拉卡
Swain,864,452,52.31481481481482,1.2948475856487724,斯溫
Sylas,3518,1778,50.54007959067653,5.272307646194887,賽勒斯
Syndra,2929,1370,46.77364288152953,4.389593261996823,星朵拉
Tahm Kench,2409,1170,48.567870485678704,3.6102868447082095,貪啃奇
Taliyah,3901,2080,53.3196616252243,5.846296795851693,塔莉雅
Talon,81,41,50.617283950617285,0.12139196115457243,塔隆
Taric,212,90,42.45283018867924,0.3177172316638192,塔里克
Teemo,16,4,25.0,0.02397865899349579,提摩
Thresh,2254,1163,51.59716060337178,3.377993585708719,瑟雷西
Tristana,3905,2041,52.26632522407171,5.852291460600066,崔絲塔娜
Trundle,2172,1056,48.61878453038674,3.255102958367053,特朗德
Tryndamere,866,432,49.88452655889146,1.2978449180229596,泰達米爾
Twisted Fate,1177,662,56.244689889549704,1.763930102209034,逆命
Twitch,556,258,46.402877697841724,0.8332584000239787,圖奇
Udyr,1291,545,42.21533694810225,1.9347780475376912,烏迪爾
Urgot,231,100,43.290043290043286,0.34619188921859545,烏爾加特
Varus,5409,2613,48.30837493067111,8.10628540598867,法洛士
Vayne,415,205,49.39759036144578,0.621946467643797,汎
Veigar,900,417,46.33333333333333,1.3487995683841383,維迦
Vel'Koz,87,42,48.275862068965516,0.13038395827713337,威寇茲
Vex,1141,554,48.55390008764242,1.7099781194736683,薇可絲
Vi,4996,2553,51.10088070456366,7.48733627071906,菲艾
Viego,6788,3178,46.81791396582204,10.172946077990588,維爾戈
Viktor,3104,1472,47.42268041237113,4.6518598447381825,維克特
Vladimir,306,153,50.0,0.4585918532506069,弗拉迪米爾
Volibear,2339,1148,49.08080376229157,3.5053802116116652,弗力貝爾
Warwick,13,6,46.15384615384615,0.01948266043221533,沃維克
Wukong,5931,3009,50.73343449671219,8.88858915565147,悟空
Xayah,5449,2871,52.688566709487986,8.16623205347241,剎雅
Xerath,252,91,36.11111111111111,0.37766387914755867,齊勒斯
Xin Zhao,4909,2328,47.4231004277857,7.356952312441926,趙信
Yasuo,830,402,48.433734939759034,1.243892935287594,犽宿
Yone,2507,1306,52.094136418029514,3.757156131043372,犽凝
Yorick,27,10,37.03703703703704,0.04046398705152414,約瑞科
Yuumi,1948,922,47.3305954825462,2.919401732458112,悠咪
Zac,526,249,47.338403041825096,0.7882984144111741,札克
Zed,157,76,48.40764331210191,0.23529059137367744,劫
Zeri,7141,3583,50.17504551183307,10.701975242034589,婕莉
Ziggs,1125,522,46.400000000000006,1.6859994604801725,希格斯
Zilean,397,189,47.607052896725435,0.5949704762761142,極靈
Zoe,729,373,51.16598079561042,1.0925276503911518,柔依
Zyra,792,422,53.28282828282829,1.1869436201780417,枷蘿
